model,dataset,metric,mean,std,q1,median,q3,iqr
ODE,MIMIC-IV,sMAPE,10.379082576249118,11.410692846055133,3.560518526209382,6.440652313729025,12.661052856807594,9.100534330598212
ODE,MIMIC-IV,RMSLE,0.05169826881886634,0.0839045211982315,0.012996852641661304,0.025420704375895706,0.05840959604836461,0.04541274340670331
ODE,UMG,sMAPE,12.634270510263335,8.45693813722631,6.045276204143001,10.674960748014767,16.602512821947766,10.557236617804765
ODE,UMG,RMSLE,0.05043094934254765,0.05310171982402451,0.015828358055627094,0.02913458606692908,0.07326736628726434,0.057439008231637244
cUDE,MIMIC-IV,sMAPE,9.465521445965148,10.1644623775437,3.2121356733274062,6.639095978793732,12.896575148516003,9.684439475188597
cUDE,MIMIC-IV,RMSLE,0.04421716471780939,0.055177766960043756,0.010816080479901298,0.026580352717250177,0.049591413528365956,0.03877533304846466
cUDE,UMG,sMAPE,10.59265082922848,8.391406058293846,5.473012546502018,7.941431168411148,13.330735860010781,7.857723313508764
cUDE,UMG,RMSLE,0.04575769378853675,0.05533683866566009,0.010751611487555329,0.023432389663754584,0.05906114199772006,0.048309530510164726
