id,smape_val,rmsle_val
n2,5.610347369365005,0.010751611487555329
n3,7.413726628444421,0.05906114199772006
n6,12.793126743356492,0.1844904574584029
n7,3.9157298032841807,0.028952910297823476
n13,32.431143307896235,0.19458740831779525
n31,17.19596147194474,0.12050865682138276
n44,7.918105138089486,0.020769202331242492
n45,8.279881509840333,0.031300389429876486
n46,8.042800331537244,0.019540579028339587
n48,6.211430993114836,0.020942707872923273
n57,15.222286531899481,0.12247040899212408
n60,7.165467634872394,0.008148814702050537
n62,5.087948604830095,0.0359031219771352
n63,7.490140002098854,0.009880430658227152
n66,3.9241687166529418,0.0013798206346990344
n67,16.060389879846763,0.0017675373864831554
n68,0.3574927436290669,0.0005595776231466698
n69,8.636363530403774,0.021242680505301065
n70,0.8405463355170203,0.0013751008701374321
n71,8.93126368144369,0.062177465715975766
n72,14.412373060382425,0.08688263719133658
n73,5.738738449503875,0.02766043520526439
n75,10.765610912603728,0.06800070770352896
n76,1.5520131656303768,0.005889674851208926
n78,18.270611925363273,0.11475896432743077
n81,7.941431168411148,0.02255053500980259
n83,5.473012546502018,0.030397239865018025
n84,39.902997304239385,0.050438337196584596
n85,7.357861624738009,0.01524776446276867
n87,17.12437407779897,0.003854288748601608
n90,24.073835435725456,0.023432389663754584
n91,3.130530678523332,0.008636988045982506
n92,7.925166345021996,0.061143810998620575
n93,16.63155444596096,0.11881182539574409
n95,8.914437958572163,0.04406675407300706
n96,5.515333941315459,0.017702431112804326
n97,12.639769330521384,0.011617642195070148
n99,11.648505123653186,0.034562738061222405
n100,3.963470949447227,0.014085979740840745
n101,12.977352003707846,0.03510693770336171
n102,32.18267320836598,0.24268125764327989
n105,5.249646169069618,0.0030960268854137844
n107,2.4261475195794575,0.017020705873465374
n109,13.330735860010781,0.045024715060906016
n110,3.9927831525664614,0.0006154093607934834
