trunc_section,smape_full_median,rmsle_full_median,loss_median
start,32.354452951429074,0.194937093755921,0.004988052081580062
middle,11.31699339309499,0.07033919507520908,0.004921935631083842
end,20.17638871342055,0.15564581664090535,0.003890751994105779
