nn_width,best_model_id,best_model_idx,best_smape_median,best_smape_iqr,best_rmsle_median,best_loss_median,best_smape_for_width,pool_size
4,cfg24_4,4,6.085779946792345,7.843005645431319,0.025190311245108482,0.006194193832622794,6.085779946792345,1
6,cfg26_4,4,6.526004248762764,8.880926312570484,0.024848755898282844,0.006968579647264171,6.278084915423665,2
8,cfg28_4,4,6.1718724857506775,8.00551005666053,0.026997261348129787,0.005942897606326814,6.1718724857506775,1
