patient_id,t_h,t_norm,beta,y_nn
synth1,0.1,0.0004166666666666667,0.1,0.0043246737073316804
synth1,1.1,0.004583333333333333,0.1,0.004486226667404975
synth1,2.1,0.00875,0.1,0.004651504799211659
synth1,3.1,0.012916666666666667,0.1,0.004820454745141833
synth1,4.1,0.017083333333333332,0.1,0.004993021258099142
synth1,5.1,0.021249999999999998,0.1,0.00516914777735609
synth1,6.1,0.025416666666666664,0.1,0.005348776993408165
synth1,7.1,0.029583333333333333,0.1,0.00553185139541626
synth1,8.1,0.033749999999999995,0.1,0.005718313795146304
synth1,9.1,0.03791666666666667,0.1,0.005908107821665377
synth1,10.1,0.042083333333333334,0.1,0.006101178381418599
synth1,11.1,0.04625,0.1,0.006297472078683055
synth1,12.1,0.050416666666666665,0.1,0.006496937591758762
synth1,13.1,0.05458333333333333,0.1,0.006699526000607939
synth1,14.1,0.05875,0.1,0.006905191061981228
synth1,15.1,0.06291666666666666,0.1,0.007113889428371202
synth1,16.1,0.06708333333333334,0.1,0.007325580807402929
synth1,17.1,0.07125000000000001,0.1,0.007540228058509787
synth1,18.1,0.07541666666666667,0.1,0.007757797223948944
synth1,19.1,0.07958333333333334,0.1,0.007978257491387577
synth1,20.1,0.08375,0.1,0.008201581085444411
synth1,21.1,0.08791666666666667,0.1,0.008427743085704991
synth1,22.1,0.09208333333333334,0.1,0.008656721168855661
synth1,23.1,0.09625,0.1,0.00888849527270807
synth1,24.1,0.10041666666666667,0.1,0.009123047180028071
synth1,25.1,0.10458333333333333,0.1,0.00936036002025392
synth1,26.1,0.10875,0.1,0.009600417687406406
synth1,27.1,0.11291666666666668,0.1,0.009843204172776147
synth1,28.1,0.11708333333333334,0.1,0.010088702811342925
synth1,29.1,0.12125000000000001,0.1,0.010336895441359422
synth1,30.1,0.12541666666666668,0.1,0.0105877614771441
synth1,31.1,0.12958333333333333,0.1,0.010841276895898085
synth1,32.1,0.13375,0.1,0.011097413140316948
synth1,33.1,0.13791666666666666,0.1,0.011356135939936967
synth1,34.1,0.14208333333333334,0.1,0.011617404055560547
synth1,35.1,0.14625000000000002,0.1,0.01188116795277439
synth1,36.1,0.15041666666666667,0.1,0.012147368412522988
synth1,37.1,0.15458333333333335,0.1,0.012415935088950798
synth1,38.1,0.15875,0.1,0.012686785027281162
synth1,39.1,0.16291666666666668,0.1,0.012959821157363478
synth1,40.1,0.16708333333333333,0.1,0.013234930781677673
synth1,41.1,0.17125,0.1,0.013511984080008565
synth1,42.1,0.17541666666666667,0.1,0.013790832656647043
synth1,43.1,0.17958333333333334,0.1,0.014071308159775262
synth1,44.1,0.18375,0.1,0.014353221006555044
synth1,45.1,0.18791666666666668,0.1,0.014636359251248355
synth1,46.1,0.19208333333333333,0.1,0.014920487637309347
synth1,47.1,0.19625,0.1,0.015205346877624964
synth1,48.1,0.20041666666666666,0.1,0.015490653209744498
synth1,49.1,0.20458333333333334,0.1,0.015776098274802582
synth1,50.1,0.20875000000000002,0.1,0.016061349369658234
synth1,51.1,0.21291666666666667,0.1,0.016346050121293542
synth1,52.1,0.21708333333333335,0.1,0.01662982163048239
synth1,53.1,0.22125,0.1,0.0169122641279191
synth1,54.1,0.22541666666666668,0.1,0.017192959180185565
synth1,55.1,0.22958333333333333,0.1,0.017471472474984817
synth1,56.1,0.23375,0.1,0.01774735720491563
synth1,57.1,0.23791666666666667,0.1,0.018020158056727503
synth1,58.1,0.24208333333333334,0.1,0.01828941579864213
synth1,59.1,0.24625,0.1,0.018554672442236207
synth1,60.1,0.2504166666666667,0.1,0.01881547693799842
synth1,61.1,0.25458333333333333,0.1,0.019071391345594598
synth1,62.1,0.25875,0.1,0.019321997401837477
synth1,63.1,0.2629166666666667,0.1,0.01956690339223051
synth1,64.1,0.2670833333333333,0.1,0.019805751216699218
synth1,65.1,0.27125,0.1,0.02003822352774494
synth1,66.1,0.27541666666666664,0.1,0.020264050810752336
synth1,67.1,0.2795833333333333,0.1,0.02048301827247941
synth1,68.1,0.28375,0.1,0.02069497240562897
synth1,69.1,0.28791666666666665,0.1,0.020899827105419086
synth1,70.1,0.2920833333333333,0.1,0.021097569228529765
synth1,71.1,0.29624999999999996,0.1,0.021288263505694863
synth1,72.1,0.30041666666666667,0.1,0.02147205674618721
synth1,73.1,0.3045833333333333,0.1,0.021649181304835403
synth1,74.1,0.30874999999999997,0.1,0.021819957819041013
synth1,75.1,0.3129166666666666,0.1,0.021984797263325077
synth1,76.1,0.31708333333333333,0.1,0.022144202410850015
synth1,77.1,0.32125,0.1,0.022298768833713397
synth1,78.1,0.32541666666666663,0.1,0.0224491856152223
synth1,79.1,0.3295833333333333,0.1,0.022596235986620403
synth1,80.1,0.33375,0.1,0.022740798136930505
synth1,81.1,0.33791666666666664,0.1,0.02288384647711341
synth1,82.1,0.3420833333333333,0.1,0.023026453668503616
synth1,83.1,0.34625,0.1,0.023169793750802418
synth1,84.1,0.35041666666666665,0.1,0.023315146727637452
synth1,85.1,0.3545833333333333,0.1,0.02346390498918507
synth1,86.1,0.35874999999999996,0.1,0.023617581973432066
synth1,87.1,0.36291666666666667,0.1,0.02377782349262342
synth1,88.1,0.3670833333333333,0.1,0.023946422182039743
synth1,89.1,0.37124999999999997,0.1,0.02412533556761942
synth1,90.1,0.3754166666666666,0.1,0.02431670830066641
synth1,91.1,0.37958333333333333,0.1,0.024522899175970548
synth1,92.1,0.38375,0.1,0.02474651363863362
synth1,93.1,0.38791666666666663,0.1,0.024990442599821795
synth1,94.1,0.3920833333333333,0.1,0.025257908528352854
synth1,95.1,0.39625,0.1,0.02555251997010462
synth1,96.1,0.40041666666666664,0.1,0.025878335878352206
synth1,97.1,0.4045833333333333,0.1,0.0262399414241357
synth1,98.1,0.40875,0.1,0.026642537306777132
synth1,99.1,0.41291666666666665,0.1,0.02709204501224853
synth1,100.1,0.4170833333333333,0.1,0.027595230984066507
synth1,101.1,0.42124999999999996,0.1,0.028159853291533272
synth1,102.1,0.42541666666666667,0.1,0.028794835117362815
synth1,103.1,0.4295833333333333,0.1,0.029510470253562085
synth1,104.1,0.43374999999999997,0.1,0.030318666799442333
synth1,105.1,0.4379166666666666,0.1,0.031233236399160185
synth1,106.1,0.44208333333333333,0.1,0.032270237623691356
synth1,107.1,0.44625,0.1,0.03344838345402599
synth1,108.1,0.45041666666666663,0.1,0.03478952417893116
synth1,109.1,0.4545833333333333,0.1,0.03631921824020207
synth1,110.1,0.45875,0.1,0.03806740440676823
synth1,111.1,0.46291666666666664,0.1,0.0400691887680632
synth1,112.1,0.4670833333333333,0.1,0.0423657588502227
synth1,113.1,0.47125,0.1,0.04500543386480279
synth1,114.1,0.47541666666666665,0.1,0.048044853558692154
synth1,115.1,0.4795833333333333,0.1,0.05155029680682427
synth1,116.1,0.48374999999999996,0.1,0.055599102999438384
synth1,117.1,0.48791666666666667,0.1,0.06028114204849763
synth1,118.1,0.4920833333333333,0.1,0.06570023990006339
