model_id,model_idx,nn_depth,nn_width,n_patients,loss_mean,loss_std,loss_median,loss_q1,loss_q3,loss_iqr,smape_mean,smape_std,smape_median,smape_q1,smape_q3,smape_iqr,rmsle_mean,rmsle_std,rmsle_median,rmsle_q1,rmsle_q3,rmsle_iqr
cfg24_4,4,2,4,56,0.042375297867634505,0.11989857176476443,0.006194193832622794,0.0015219728265413162,0.017941318751947537,0.01641934592540622,9.93294960115718,11.994794449080977,6.085779946792345,3.1924970897265648,11.035502735157884,7.843005645431319,0.04798667045348828,0.07612737008028293,0.025190311245108482,0.012021756707596446,0.05389732640501315,0.0418755696974167
cfg24_2,2,2,4,56,0.0532211998785867,0.15909217898336236,0.006550598846419092,0.002155938972168641,0.022119168726404757,0.019963229754236117,10.990134224648653,14.468946121770744,6.389777116588296,3.6376023980685983,11.423322456346117,7.785720058277519,0.05346700210737103,0.08892617345995243,0.026899927993270144,0.010340942962240916,0.0551536669284515,0.04481272396621058
cfg24_3,3,2,4,56,0.05095254601168475,0.13398034305411158,0.009236345548807128,0.0016493771099991904,0.02566201987600914,0.02401264276600995,11.811832600058688,14.007416858321024,7.529799063176158,3.3158465941373225,14.098156670108047,10.782310075970724,0.0546751489806124,0.0790347361260731,0.02711415007561379,0.012047357469077313,0.05525994946426403,0.04321259199518672
cfg24_1,1,2,4,56,0.1030059430538915,0.27355635269461026,0.010420333843329967,0.0027157332454971453,0.06498357387516832,0.06226784062967117,16.49943700405512,19.65352773729298,8.800612977634774,4.561742721918145,19.95289692590098,15.391154203982836,0.07474158031424807,0.11364228201209613,0.04053826905775671,0.014079319175965927,0.09414385466492882,0.08006453548896289
