model_id,model_idx,nn_depth,nn_width,n_patients,loss_mean,loss_std,loss_median,loss_q1,loss_q3,loss_iqr,smape_mean,smape_std,smape_median,smape_q1,smape_q3,smape_iqr,rmsle_mean,rmsle_std,rmsle_median,rmsle_q1,rmsle_q3,rmsle_iqr,experiment_path
cfg24_4,4,2,4,56,0.042375297867634505,0.11989857176476443,0.006194193832622794,0.0015219728265413162,0.017941318751947537,0.01641934592540622,9.93294960115718,11.994794449080977,6.085779946792345,3.1924970897265648,11.035502735157884,7.843005645431319,0.04798667045348828,0.07612737008028293,0.025190311245108482,0.012021756707596446,0.05389732640501315,0.0418755696974167,NSTEMI_cUDE_MIMIC-IV_MSE_24_sigmoid_regback
cfg28_4,4,2,8,56,0.05810873996198446,0.17801694266299836,0.005942897606326814,0.0016922675404314653,0.02144621043566939,0.019753942895237925,11.347103515684902,15.26115066930874,6.1718724857506775,3.316099116655473,11.321609173316002,8.00551005666053,0.05460769384546322,0.09422857109696177,0.026997261348129787,0.012554050262195256,0.05000063248405176,0.037446582221856504,NSTEMI_cUDE_MIMIC-IV_MSE_28_sigmoid_regback
cfg26_1,1,2,6,56,0.04928843839443078,0.14233956890698643,0.006239342724002108,0.0018185354355411939,0.021860333924835287,0.020041798489294094,10.873689368581111,13.362599293838295,6.278084915423665,3.2531555935180547,12.234728243534649,8.981572650016595,0.05208000020240989,0.08559970586738376,0.025586241389211617,0.011714663928368119,0.055282647591394216,0.0435679836630261,NSTEMI_cUDE_MIMIC-IV_MSE_26_sigmoid_regback
cfg24_2,2,2,4,56,0.0532211998785867,0.15909217898336236,0.006550598846419092,0.002155938972168641,0.022119168726404757,0.019963229754236117,10.990134224648653,14.468946121770744,6.389777116588296,3.6376023980685983,11.423322456346117,7.785720058277519,0.05346700210737103,0.08892617345995243,0.026899927993270144,0.010340942962240916,0.0551536669284515,0.04481272396621058,NSTEMI_cUDE_MIMIC-IV_MSE_24_sigmoid_regback
cfg26_4,4,2,6,56,0.03757636348940714,0.10301051066015454,0.006968579647264171,0.0020083014813229456,0.02255533389662045,0.020547032415297505,10.26634074606869,11.460109756975061,6.526004248762764,3.818033906197858,12.698960218768342,8.880926312570484,0.04978691393151314,0.0731140770032972,0.024848755898282844,0.011993759554730216,0.05384121220844644,0.04184745265371623,NSTEMI_cUDE_MIMIC-IV_MSE_26_sigmoid_regback
cfg28_3,3,2,8,56,0.03381582214806283,0.0870862917148537,0.00627441164825925,0.001754788322670163,0.026631343268701223,0.02487655494603106,9.46726441201182,10.163781804671432,6.632938409869146,3.2195001178551736,12.904147275324569,9.684647157469396,0.04422318801630087,0.0551802318566801,0.02659341098370491,0.01080839369251217,0.04963381492557599,0.03882542123306382,NSTEMI_cUDE_MIMIC-IV_MSE_28_sigmoid_regback
cfg26_3,3,2,6,56,0.06429386559093832,0.1934079403014835,0.007724459888860205,0.0021758089852404387,0.02315492732255176,0.02097911833731132,11.828524512095694,15.565395700963267,7.007984130929436,3.498255406067454,11.450368416866528,7.952113010799074,0.05792184078433793,0.10103475350145567,0.0291451003015468,0.012104680067794946,0.05694392507920129,0.04483924501140635,NSTEMI_cUDE_MIMIC-IV_MSE_26_sigmoid_regback
cfg28_2,2,2,8,56,0.06954223934242176,0.19155275272087147,0.008166078543230128,0.0019381770263251473,0.038747261521800164,0.036809084495475014,13.11640769192677,15.692224542650862,7.526034933395692,3.5495830363619714,15.658108072412919,12.108525036050947,0.06351083728716918,0.10440170741621536,0.03504551263524161,0.012943768712959781,0.07076404987758969,0.05782028116462991,NSTEMI_cUDE_MIMIC-IV_MSE_28_sigmoid_regback
cfg24_3,3,2,4,56,0.05095254601168475,0.13398034305411158,0.009236345548807128,0.0016493771099991904,0.02566201987600914,0.02401264276600995,11.811832600058688,14.007416858321024,7.529799063176158,3.3158465941373225,14.098156670108047,10.782310075970724,0.0546751489806124,0.0790347361260731,0.02711415007561379,0.012047357469077313,0.05525994946426403,0.04321259199518672,NSTEMI_cUDE_MIMIC-IV_MSE_24_sigmoid_regback
cfg28_1,1,2,8,56,0.04874677437357422,0.13835462710318963,0.008380588970516373,0.001688236982955229,0.027099906962002394,0.025411669979047164,11.082796814193513,13.60416304013495,7.697886509573987,2.9045310479644084,13.192249228264895,10.287718180300487,0.050611809736153965,0.0739785801669483,0.0274627711431214,0.010499832694100571,0.056035034444441925,0.045535201750341356,NSTEMI_cUDE_MIMIC-IV_MSE_28_sigmoid_regback
cfg24_1,1,2,4,56,0.1030059430538915,0.27355635269461026,0.010420333843329967,0.0027157332454971453,0.06498357387516832,0.06226784062967117,16.49943700405512,19.65352773729298,8.800612977634774,4.561742721918145,19.95289692590098,15.391154203982836,0.07474158031424807,0.11364228201209613,0.04053826905775671,0.014079319175965927,0.09414385466492882,0.08006453548896289,NSTEMI_cUDE_MIMIC-IV_MSE_24_sigmoid_regback
cfg26_2,2,2,6,56,0.04625948385069572,0.1281478478039023,0.010680702456257084,0.004248647095224912,0.025141810380184905,0.020893163284959992,11.667995735068663,12.251325354243734,8.876383792771154,5.058559140583332,14.603470325824919,9.544911185241586,0.05586620857401968,0.0782688303990563,0.03441345828680836,0.012717938224056886,0.06806831118885846,0.05535037296480158,NSTEMI_cUDE_MIMIC-IV_MSE_26_sigmoid_regback
