Complexity,Loss,Equation
1,2.4909223664250205e-5,"0.009847521627510987"
5,8.589573558534043e-6,"(β + -0.7170609793536685) * -0.017620348516789425"
6,4.240055556858464e-6,"inv(β + 0.13150085284374413) * 0.0019364632106066784"
8,4.240052942545339e-6,"inv((β + β) + 0.26302445453541495) * 0.0038731891317596726"
10,3.999364223634404e-6,"(t_norm * 0.005974622570826284) * inv(β + (t_norm * 0.4022298666970159))"
12,3.9106240383262725e-6,"(t_norm * 0.005974622570826284) * (inv(β + (t_norm * 0.4022298666970159)) + -0.20791897341414084)"
14,3.7074321168424063e-6,"(inv((β * 1.475156182753427) + t_norm) * t_norm) * ((β + -1.0830196392244935) * -0.013470996091690637)"
15,3.1081971316957326e-6,"inv((t_norm * -0.8312355746239852) + (inv(t_norm + -0.8847398978369436) * β)) * (t_norm * -0.012520558231654058)"
